"id_plot","specrich","speccomb","total_all_ba","edge"
1,2,"qrob_qrub",3.853379373,423.8733421454
2,1,"fsyl",2.950956884,176.057468578
3,1,"fsyl",3.601541453,175.2818429134
4,2,"fsyl_qrub",3.552709322,0
5,3,"all",3.601266563,86.9550769938
6,2,"fsyl_qrub",4.074228625,77.4753568146
7,3,"all",3.252569414,28.3048187474
8,2,"fsyl_qrub",3.365018796,154.8739031059
9,2,"fsyl_qrob",3.786757975,0
10,1,"fsyl",3.29686587,260.3938978
11,3,"all",3.121093762,0
12,2,"fsyl_qrub",3.419446889,179.227601883
13,2,"fsyl_qrob",3.357557513,0
14,1,"fsyl",3.056553667,0
15,2,"fsyl_qrub",4.177159767,0
16,1,"qrub",4.159841737,0
17,2,"fsyl_qrob",2.947501132,251.1757947164
18,1,"qrob",3.392429192,401.4259940567
19,1,"qrob",3.753005489,0
20,1,"qrob",4.55619292,386.985495852
21,1,"fsyl",4.72309003,434.512027551
22,1,"fsyl",3.919863329,415.9950639568
23,2,"fsyl_qrob",3.008899634,0
24,3,"all",3.267590153,229.851320606
25,2,"qrob_qrub",3.350410391,275.700800662
26,1,"fsyl",4.15243936,345.098789471
27,2,"fsyl_qrob",3.980986941,452.4834371887
28,2,"fsyl_qrob",3.556204344,419.09787712
29,3,"all",3.371969571,312.2820407
30,2,"fsyl_qrob",3.664216227,198.310171772
31,1,"qrob",3.4555163,178.7483586621
32,2,"qrob_qrub",3.235565544,190.10346178
33,1,"qrub",4.438658085,194.574684627
34,2,"qrob_qrub",3.98756465,191.850821681
35,1,"qrob",2.845065577,28.9386215589
36,1,"qrub",3.397063041,438.242781819
37,1,"qrub",2.258216069,0
38,3,"all",3.690644874,203.8009830769
39,2,"fsyl_qrub",3.596514904,0
40,1,"qrub",2.982320974,9.8567306748
41,1,"qrub",3.324236996,18.554922188
42,1,"fsyl",3.50652791,161.7387527153
43,1,"qrob",2.597390266,188.3806430446
44,2,"fsyl_qrob",3.142986735,39.2011341061
45,1,"qrub",4.975890064,490.5392860011
46,3,"all",4.123988311,222.112414974
47,1,"qrob",2.375267099,305.4094719541
48,1,"qrob",3.615344826,446.3580322342
49,2,"qrob_qrub",3.826459851,78.4413638929
50,2,"qrob_qrub",3.405093736,191.5619971058
51,2,"qrob_qrub",3.872052215,103.6248092944
52,1,"qrub",2.423051508,0
53,2,"qrob_qrub",2.873006117,0
